Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre
9101,WRC: FIA World Rally Championship,PS3,,,,undefined,Unknown  ,Milestone S.r.l  ,,,0.0,0.14,0.01,0.04,0.2,https://www.vgchartz.com/game/46121/wrc-fia-world-rally-championship/?region=All,Racing
9102,Harvest Moon: More Friends of Mineral Town,GBA,2005.0,Jul,26.0,undefined,Natsume  ,TOSE Software  ,8.0,,0.14,0.05,,0.0,0.2,https://www.vgchartz.com/game/22279/harvest-moon-more-friends-of-mineral-town/?region=All,Simulation
9103,Infinite Space,DS,2010.0,Mar,16.0,undefined,Sega  ,PlatinumGames / Nude Maker  ,7.2,,0.06,0.05,0.07,0.01,0.2,https://www.vgchartz.com/game/35541/infinite-space/?region=All,Role-Playing
9104,The Fairly Odd Parents: Shadow Showdown,GC,2004.0,Sep,8.0,undefined,THQ  ,Blitz Games  ,,,0.16,0.04,,0.01,0.2,https://www.vgchartz.com/game/706/the-fairly-odd-parents-shadow-showdown/?region=All,Platform
9105,Planet 51,Wii,2009.0,Nov,17.0,undefined,Sega  ,Pyro Studios  ,,,0.17,0.02,,0.02,0.2,https://www.vgchartz.com/game/32207/planet-51/?region=All,Action
9106,DanceMasters,X360,2010.0,Nov,4.0,undefined,Konami  ,GCP1  ,6.2,,0.15,0.02,0.02,0.01,0.2,https://www.vgchartz.com/game/45632/dancemasters/?region=All,Misc
9107,Mobile Suit Gundam Side Story II: Aoi o Uketsugu Mono,SAT,1996.0,Dec,6.0,undefined,Bandai  ,Bec  ,,,,,0.2,,0.2,https://www.vgchartz.com/game/3802/mobile-suit-gundam-side-story-ii-aoi-o-uketsugu-mono/?region=All,Shooter
9108,Black Panther 2: Yakuza Ashura Chapter,PSP,2012.0,Mar,22.0,undefined,Sega  ,Sega  ,,,,,0.2,,0.2,https://www.vgchartz.com/game/70597/black-panther-2-yakuza-ashura-chapter/?region=All,undefined
9109,Just Dance: Greatest Hits,Wii,2012.0,Jul,26.0,undefined,Ubisoft  ,Ubisoft Paris  ,,,0.14,0.04,,0.02,0.2,https://www.vgchartz.com/game/70628/just-dance-greatest-hits/?region=All,Misc
9110,DarkStar One: Broken Alliance,X360,2010.0,Jul,20.0,undefined,Kalypso  ,Gaming Minds Studios  ,6.4,,0.11,0.07,,0.02,0.2,https://www.vgchartz.com/game/44898/darkstar-one-broken-alliance/?region=All,Simulation
9111,NBA 2K2,XB,2002.0,Feb,27.0,undefined,Sega  ,Visual Concepts  ,,,0.15,0.04,,0.01,0.2,https://www.vgchartz.com/game/1505/nba-2k2/?region=All,Sports
9112,X2: Wolverine's Revenge,GBA,2003.0,Apr,15.0,undefined,Activision  ,Vicarious Visions  ,7.7,,0.14,0.05,,0.0,0.2,https://www.vgchartz.com/game/25576/x2-wolverines-revenge/?region=All,Platform
9113,Teenage Mutant Ninja Turtles: Danger of the Ooze,X360,2014.0,Oct,28.0,undefined,Activision  ,WayForward Technologies  ,,,0.11,0.07,,0.02,0.2,https://www.vgchartz.com/game/84537/teenage-mutant-ninja-turtles-danger-of-the-ooze/?region=All,Adventure
9114,7th Dragon 2020,PSP,2011.0,Nov,23.0,undefined,Sega  ,imageepoch Inc.  ,,,,,0.2,,0.2,https://www.vgchartz.com/game/51191/7th-dragon-2020/?region=All,Role-Playing
9115,Cars,XB,2006.0,Jun,6.0,undefined,THQ  ,Rainbow Studios  ,,,0.15,0.04,,0.01,0.2,https://www.vgchartz.com/game/4948/cars/?region=All,Racing
9116,Dragon Ball: Revenge of King Piccolo,Wii,2009.0,Oct,20.0,undefined,Namco Bandai  ,Bandai Namco Games  ,6.1,8.0,0.12,0.03,0.03,0.02,0.2,https://www.vgchartz.com/game/34776/dragon-ball-revenge-of-king-piccolo/?region=All,Action
9117,Taiko no Tatsujin: Waku Waku Anime Matsuri,PS2,2003.0,Dec,18.0,undefined,Namco  ,Namco  ,,,,,0.2,,0.2,https://www.vgchartz.com/game/4496/taiko-no-tatsujin-waku-waku-anime-matsuri/?region=All,Misc
9118,Spy Hunter,GC,2002.0,Mar,11.0,undefined,Midway Games  ,Point of View  ,7.9,,0.16,0.04,,0.01,0.2,https://www.vgchartz.com/game/5745/spy-hunter/?region=All,Racing
9119,Dead to Rights II,PS2,2005.0,Apr,12.0,undefined,Namco  ,WideScreen Games  ,,,0.1,0.08,,0.03,0.2,https://www.vgchartz.com/game/5006/dead-to-rights-ii/?region=All,Shooter
9120,Super Dodge Ball Advance,GBA,2001.0,Jun,10.0,undefined,Atlus  ,Atlus Co.  ,,,0.14,0.05,,0.0,0.2,https://www.vgchartz.com/game/28453/super-dodge-ball-advance/?region=All,Sports
